TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition
Shorts_Test-Initial,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""Grape_Safe_Mode"", ""expect"": ""OK""}",,,"touch --sel grape --set_param boot-safe-mode true",,
,Common:sendCmdAndCreateRecord,,,,300,,"{""subsubtestname"": ""TouchShortsTest"", ""expect"": ""Passed"",""pattern"":""Sequence done[\\s\\S]*(Passed|Failed)"",""hangTimeout"":10}",,,"smokey --run TouchShortsTest",,
Firmware_Load-Diags,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""Grape_On"", ""expect"": ""OK""}",,,"touch --on",,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""Grape_Load_Firmware"", ""expect"": ""OK""}",,,"touch --load_firmware",,
,Common:sendCmdAndCreateRecord,,,(Grape_Properties_resp),10,,"{""subsubtestname"": ""Grape_Properties"", ""expect"": ""OK"",""passnoshow"":""YES""}",,,"touch -p",,
,Common:regexParseString,,(Grape_Properties_resp),[TOUCH_FIRMWARE],,,"{""subsubtestname"": ""Grape_Firmware_Version"", ""attribute"": ""TOUCH_FIRMWARE"", ""pattern"": ""firmware-version:\\s+(0x[0-9A-Fa-f]+)""}",,,,,
,Common:versionCompare,,[TOUCH_FIRMWARE],,,,"{""subsubtestname"": ""Grape_Compare"",""compareKey"":""GrapeFW"",""passnoshow"":""YES""}",,,,,
,Common:sendCmdAndCreateRecord,,,,10,,"{""subsubtestname"": ""Grape_Off"", ""expect"": ""OK""}",,,"touch --off",,
