TestPlan information Reading from logfile: TEST_PLAN V1_3,Cmd,Status,CMD_TIME (second),Used time (second),Hot time (second),Temperature (°C),Hot times
"iBoot Version: iBoot-7459.100.363.101.2
Rtos Version: PeRtosFactoryTests_H13G-1.0.20
Rbm Version: SiValFactoryTests_H13G-100040"
502,sc run 188 5,Rtos,6.497822,6.606,,,
503,sc run 191 5,Rtos,6.186302,6.298,,,
504,sc run 401 5,Rtos,6.233993,6.344,,,
505,sc run 403 5,Rtos,6.569019,6.668,,,
506,pmgr mode 0x1102234,Rtos,0.000276,0.032,,,
507,sc run 186 5,Rtos,2.909463,3.002,,,
508,sc run 187 5,Rtos,6.312832,6.421,,,
509,sc run 188 5,Rtos,6.823109,6.928,,,
510,sc run 191 5,Rtos,6.425315,6.528,,,
511,sc run 401 5,Rtos,6.745899,6.852,,,
512,sc run 403 5,Rtos,6.88769,6.987,,,
513,pmgr mode 0x2502256,Rtos,0.000536,0.032,,,
514,mmu ddr-linear,Rtos,0.002418,0.015,,,
515,core up ane mar_dram.shr alloc,Rtos,0.337675,0.371,,,
516,core up ans mar_dram.shr alloc,Rtos,0.028,0.062,,,
517,core up aop mar_dram.shr alloc,Rtos,0.029309,0.064,,,
518,core up dispint mar_dram.shr alloc,Rtos,0.028628,0.063,,,
519,core up dispext mar_dram.shr alloc,Rtos,0.028669,0.063,,,
520,core up pms mar_dram.shr alloc,Rtos,0.029182,0.062,,,
521,core up sio mar_dram.shr alloc,Rtos,0.02838,0.062,,,
522,core up smc mar_dram.shr alloc,Rtos,0.029635,0.064,,,
523,core up sve mar_dram.shr alloc,Rtos,0.028166,0.063,,,
524,echo >>>> Display Tests <<<<,Rtos,6.1e-05,0.016,,,
525,pmgr mode 0x4404254,Rtos,0.00044,0.015,,,
526,sc run 285 5,Rtos,10.377909,10.471,,,
527,sc run 84 5,Rtos,9.694622,9.806,,,
528,sc run 104 5,Rtos,27.240942,27.347,,,
529,sc run 174 5,Rtos,7.596613,7.699,,,
530,sc run 194 5,Rtos,6.849932,6.96,,,
531,pmgr mode 0x4403254,Rtos,0.000193,0.031,,,
532,sc run 285 5,Rtos,10.726188,10.821,,,
533,sc run 84 5,Rtos,10.623574,10.73,,,
534,sc run 104 5,Rtos,28.093861,28.196,,,
535,sc run 194 5,Rtos,6.524559,6.636,,,
536,pmgr mode 0x4402254,Rtos,0.000176,0.031,,,
537,sc run 84 5,Rtos,11.594418,11.698,,,
538,sc run 194 5,Rtos,6.739086,6.85,,,
539,core up isp mar_dram.shr alloc,Rtos,0.032475,0.062,,,
540,core up isp1 mar_dram.shr alloc,Rtos,0.03198,0.063,,,
541,ts exclude tg1i,Rtos,5.4e-05,0.015,,,
542,ts exclude tg4i,Rtos,2.9e-05,0.016,,,
543,echo >>>> GFX Tests <<<<,Rtos,6.4e-05,0.016,,,
544,pmgr mode 0xa503756,Rtos,0.000445,0.031,,,
545,switcher pattern rotary 100 -jitter=40 -clk:s=5_4_3 -on -cpu=pms,Rtos,0.000178,0.031,,,
546,sc run 46 5,Rtos,107.722491,107.803,,,
547,switcher off -reset,Rtos,1.1e-05,0.031,,,
548,pmgr mode -s 5,Rtos,9.1e-05,0.016,,,
549,sc run 46 5,Rtos,93.988138,94.08,,,
550,pmgr mode -s 4,Rtos,0.000189,0.031,,,
551,sc run 46 5,Rtos,107.240086,107.324,,,
552,pmgr mode -s 3,Rtos,0.000108,0.031,,,
553,sc run 46 5,Rtos,118.29998,118.456,,,
554,switcher pattern random 100 -jitter=40 -on -cpu=pms -clk:g=2_7,Rtos,0.000214,0.048,,,
555,sc run 30 5,Rtos,35.801162,35.894,,,
556,switcher off -reset,Rtos,2e-05,0.032,,,
557,pmgr mode 0xa502756,Rtos,0.000223,0.031,,,
558,pmgr mode -g 7,Rtos,8.3e-05,0.016,,,
559,sc run 30 5,Rtos,36.48909,36.587,,,
560,pmgr mode -g 6,Rtos,9.7e-05,0.031,,,
561,sc run 30 5,Rtos,35.789027,35.88,,,
562,pmgr mode -g 5,Rtos,0.000125,0.032,,,
563,sc run 30 5,Rtos,35.903795,36.003,,,
564,pmgr mode -g 4,Rtos,0.000115,0.031,,,
565,sc run 30 5,Rtos,36.142074,36.235,,,
566,pmgr mode -g 3,Rtos,9.5e-05,0.032,,,
567,sc run 30 5,Rtos,35.705024,35.802,,,
568,pmgr mode -g 2,Rtos,0.000104,0.031,,,
569,sc run 30 5,Rtos,35.996822,36.096,,,
570,ts include tg1i,Rtos,2.5e-05,0.031,,,
571,ts include tg4i,Rtos,3.2e-05,0.016,,,
572,core up gfx mar_dram.shr alloc,Rtos,0.026186,0.047,,,
573,sc run 8 5,Rtos,28.516233,28.604,,,
574,sc run 11 5,Rtos,11.097057,11.204,,,
