TaskOrder,GraphNumber,StartTime,StopTime,Duration,ActionName,TagName,Slot,GraphHash
45,2,1618588567.728458,1618588569.735871,2.007413,WiFi_Firmware_Load-Diags,SystemScheduler,slot2,7856186021307596974
30,2,1618588518.668018,1618588518.784285,0.116267,Syscfg_Check-RFEM_sanity_check,SystemScheduler,slot2,7856186021307596974
29,2,1618588043.316272,1618588518.665335,475.349063,Smokey_Test-Pad_DFU,SystemScheduler,slot2,7856186021307596974
25,2,1618588042.489340,1618588042.613392,0.124052,startProcessControl,SystemScheduler,slot2,7856186021307596974
27,2,1618588042.722095,1618588042.759910,0.037815,CB-Incomplete,SystemScheduler,slot2,7856186021307596974
16,2,1618587934.527280,1618587941.820610,7.293330,Iboot_Power_On,SystemScheduler,slot2,7856186021307596974
34,2,1618588558.416994,1618588561.110622,2.693628,LOAD,SystemScheduler,slot2,7856186021307596974
46,2,1618588569.738625,1618588570.539748,0.801123,BT_Firmware_Load-Diags,SystemScheduler,slot2,7856186021307596974
9,2,1618587585.280442,1618587586.678400,1.397958,Enter_DFU-Initial,SystemScheduler,slot2,7856186021307596974
3,2,1618587560.875072,1618588617.247454,1056.372382,GraphIndex1,SystemScheduler,slot2,7856186021307596974
51,2,1618588589.219686,1618588595.807474,6.587788,Baseband_Firmware_Load-Diags,SystemScheduler,slot2,7856186021307596974
61,3,1618588617.253156,1618588634.509637,17.256481,GraphIndex2,SystemScheduler,slot2,7784673538753838393
62,3,1618588617.263421,1618588634.509478,17.246057,Teardown,SystemScheduler,slot2,7784673538753838393
,,1618587556.387700,1618588636.300936,1079.913236,,DeviceStartStop,,
