attributeName,attributeValue,testName,subTestName,subSubTestName,relaxedUpperLimit,upperLimit,measurementValue,lowerLimit,relaxedLowerLimit,measurementUnits,priority,status,failureMessage,startTime,stopTime,timeInterval
,,System,Smokey_Test-Pad_DFU,shdfu.spmitest.spmiheb.ret,NA,0.5,0,0,NA,,1,PASS,No user failure message was provided,,,
,,System,Smokey_Test-Pad_DFU,shdfu.spmitest.spmiheb.execTime,NA,2147483647,5.578630999999999,-2147483648,NA,s,1,PASS,No user failure message was provided,,,
,,System,Smokey_Test-Pad_DFU,shdfu.cleanup.ret,NA,0.5,0,0,NA,,1,PASS,No user failure message was provided,,,
,,System,Smokey_Test-Pad_DFU,shdfu.cleanup.execTime,NA,2147483647,0.48531,-2147483648,NA,s,1,PASS,No user failure message was provided,,,
,,System,Smokey_Test-Pad_DFU,uwbdfu.uwb.uwbreportvars.ret,NA,0.5,0,0,NA,,1,PASS,No user failure message was provided,,,
,,System,Smokey_Test-Pad_DFU,uwbdfu.uwb.uwbreportvars.execTime,NA,2147483647,0.003538,-2147483648,NA,s,1,PASS,No user failure message was provided,,,
,,System,Smokey_Test-Pad_DFU,uwbdfu.spmitest.spmiidc.ret,NA,0.5,1,0,NA,,1,FAIL,No user failure message was provided,,,
,,System,Smokey_Test-Pad_DFU,uwbdfu.spmitest.spmiidc.execTime,NA,2147483647,66.057922,-2147483648,NA,s,1,PASS,No user failure message was provided,,,
,,System,Smokey_Test-Pad_DFU,uwbdfu.cleanup.ret,NA,0.5,0,0,NA,,1,PASS,No user failure message was provided,,,
,,System,Smokey_Test-Pad_DFU,uwbdfu.cleanup.execTime,NA,2147483647,0.31745,-2147483648,NA,s,1,PASS,No user failure message was provided,,,
,,System,Smokey_Test-Pad_DFU,Smokey_Hang_Check,,1,1,0,,,,PASS,No user failure message was provided,,,
,,System,Smokey_Test-Pad_DFU,Smokey_result,,1,0,0,,,,FAIL,No user failure message was provided,,,
,,System,Syscfg_Check-RFEM_sanity_check,RFEM_read,,1,1,0,,,,PASS,No user failure message was provided,,,
